Berço,IMO,Navio,Operação,Bordo,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualização
B099,9613329,HALOPHYLA,EXPORTAÇÃO,BORESTE,200,57.440,CELULOSE,18.018,5,WILHELMSEN PORT SERVICES BRASIL LTDA,07/06/23
B100,9281437,MARIETTA,EXPORTAÇÃO,BORESTE,225,73.600,SOJA,64.705,6,LBH BRASIL,07/06/23
B101,9919670,BEGONIA,IMPORTAÇÃO,BORESTE,200,61.102,UREIA,16.000,6.5,CARGONAVE,07/06/23
B102,9310721,CALLIO,IMPORTAÇÃO,BORESTE,177,32.946,FERTILIZANTES,30.110,9.63,LBH BRASIL,07/06/23
B103,9476941,MODEST SW,EXPORTAÇÃO,BORESTE,225,76.483,SOJA,72.600,7,ALPHAMAR,07/06/23
B104,9390020,STENA PROGRESS,EXPORTAÇÃO,BOMBORDO,183,65.118,GASOLINAS,28.078,7.5,LACHMANN,07/06/23
B105,9452593,GIEWONT,EXPORTAÇÃO,BORESTE,229,79.586,SOJA,65.000,6.87,FERTIMPORT,07/06/23
B106,9829473,STI MARVEL,IMPORTAÇÃO,BOMBORDO,183,47.499,GASOLINA,47.700,12,LACHMANN,07/06/23
B108,9365386,OSCAR,IMPORTAÇÃO,BOMBORDO,183,49.995,DIESEL,33.772,9.5,NORTH STAR,07/06/23
