IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9847205,BBG NANNING,EXPORTAÇÃO,229,81.702,SOJA,68.750,7,LBH BRASIL,07/06/23
9798337,JINLING CONFIDENCE,IMPORTAÇÃO,180,40.320,STEEL PIPES,13.302,10.6,ORION RODOS,07/06/23
9386407,SEA BRAVERY,IMPORTAÇÃO,190,58.722,MOP,49.431,11.6,ROCHAMAR,07/06/23
9526710,RADIUS,IMPORTAÇÃO,178,36.976,FERTILIZANTES,28.900,10,WILHELMSEN PORT SERVICES BRASIL LTDA,07/06/23
9714783,TOMINI LEVANT,IMPORTAÇÃO,180,38.719,FERTILIZANTES,27.500,11,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,07/06/23
9569968,MANDARIN SINGAPORE,IMPORTAÇÃO,190,56.724,CALCARIO,40.000,11.3,WILHELMSEN PORT SERVICES BRASIL LTDA,07/06/23
9786061,YASA MIMOSA,IMPORTAÇÃO,180,40.262,FERTILIZANTES,38.500,10.75,CARGONAVE,07/06/23
9397236,AGIA TRIADA,IMPORTAÇÃO,176,31.887,MOP,21.950,8.7,ORION RODOS,07/06/23
9692674,VAN LEOPARD,IMPORTAÇÃO,198,60.263,CLINQUER,47.100,11.5,LBH BRASIL,07/06/23
9848077,SSI SPLENDID,IMPORTAÇÃO,200,63.510,SSP,10.800,11.5,ROCHAMAR,07/06/23
9803417,WECO KAROLINE,IMPORTAÇÃO,180,38.905,MES9,19.000,6.78,ROCHAMAR,07/06/23
9718038,ETRON,EXPORTAÇÃO,229,81.080,SOJA,62.700,7.3,FERTIMPORT,07/06/23
9456343,JAG RISHI,EXPORTAÇÃO,190,56.719,FARELO,45.000,6,FERTIMPORT,07/06/23
9507960,SASEBO ACE,EXPORTAÇÃO,225,75.008,SOJA,66.740,7.3,CARGONAVE,07/06/23
9474670,MAIRINI,EXPORTAÇÃO,229,79.023,SOJA,67.504,7.75,ALPHAMAR,07/06/23
9452608,JAWOR,EXPORTAÇÃO,229,79.649,SOJA,65.000,8.46,FERTIMPORT,07/06/23
9317470,GREAT VENTURE,EXPORTAÇÃO,225,77.283,SOJA,66.648,7.9,CARGONAVE,07/06/23
9473274,SPRING SNOW,EXPORTAÇÃO,225,75.200,SOJA,64.835,7,LBH BRASIL,07/06/23
9603142,SSI SURPRISE,EXPORTAÇÃO,229,81.630,SOJA,69.300,7,ALPHAMAR,07/06/23
9669873,BOW TRAJECTORY,IMPORTAÇÃO,183,49.622,HIDRÓXIDO,4.500,12.5,LBH BRASIL,07/06/23
9478688,PINE MEADOW,IMPORTAÇÃO,183,50.171,DIESEL,38.500,10.9,LACHMANN,07/06/23
9315733,JAG PUSHPA,IMPORTAÇÃO,183,48,GASOLINA,33.342,8.6,NORTH STAR,07/06/23
9848352,MARITIME VALOR,IMPORTAÇÃO,183,49.999,OUTRAS,12.000,8.6,UNIMAR,07/06/23
9494034,RAS GHUMAYS - I,EXPORTAÇÃO,190,57.423,SOJA,51.250,6.35,FERTIMPORT,07/06/23
9734733,SHANDONG FU HUI,EXPORTAÇÃO,229,81.782,SOJA,69.061,7.9,CARGONAVE,07/06/23
9459060,NAVE ATRIA,EXPORTAÇÃO,183,49.992,GASOLINA,15.300,8,LACHMANN,07/06/23
9768746,MARITIME POLARIS,IMPORTAÇÃO,183,49.996,OUTRAS,33.860,10.75,NORTH STAR,07/06/23
9706841,STI BROOKLYN,IMPORTAÇÃO,183,49.990,DIESEL,33.923,12.45,AMART SERVICES,07/06/23
