Navio,Deslastre,Pontos,Risco,IMO
HALOPHYLA,11826.6,2,MÉDIO,9613329
MARIETTA,2668.5,1,BAIXO,9281437
BEGONIA,13530.6,2,MÉDIO,9919670
CALLIO,850.8,0.5,BAIXO,9310721
MODEST SW,1164.9,0.5,BAIXO,9476941
STENA PROGRESS,11112.0,2,MÉDIO,9390020
GIEWONT,4375.8,1,BAIXO,9452593
STI MARVEL,-60.3,0.5,BAIXO,9829473
OSCAR,4866.9,1,BAIXO,9365386
STAR KIRKENES,5977.2,2,MÉDIO,9396127
CITRIODORA,12132.0,2,MÉDIO,9613305
MEGHNA SUN,9615.0,2,MÉDIO,9717072
WL LADOGA,2299.8,1,BAIXO,9659799
LA STELLA,11247.0,2,MÉDIO,9748368
AMBER STAR,1467.6,0.5,BAIXO,9801160
THOR CHAICHANA,3376.5,1,BAIXO,9638501
OSCAR NIEMEYER,450.0,0.5,BAIXO,9596820
SCARLETT MANX,13988.4,2,MÉDIO,9801718
INCHEON BAY,9930.3,2,MÉDIO,9791963
LOWLANDS HOPE,12138.9,2,MÉDIO,9727182
KOUSHUN,16514.1,2,MÉDIO,9737060
INDUSTRIAL MERCHANT,-68085.3,0.5,BAIXO,9534470
DOLFIJNGRACHT,4348.8,1,BAIXO,9420825
EUCALYPTUS,8790.0,2,MÉDIO,9832456
MATISSE,4538.7,1,BAIXO,9677375
OINOUSSIAN VIGOUR,3350.1,1,BAIXO,9523263
YASA PEARL,4154.7,1,BAIXO,9949053
LEM GERANIUM,2055.0,1,BAIXO,9845790
JENNINGS BAY,-3.0,0.5,BAIXO,9717773
THE SAUCE,8295.3,2,MÉDIO,9315769
HORIZON THEANO,13499.7,2,MÉDIO,9407392
DN 204,113400.0,2,MÉDIO,9559200
OCEAN ELECTRA,11963.1,2,MÉDIO,9402782
SERGIO BUARQUE DE HOLANDA,12941.7,2,MÉDIO,9489900
BRAGE R,-59040.0,0.5,BAIXO,9144380
PATRICIA V,3106.2,1,BAIXO,9453054
NAVIOS TAURUS,3178.8,1,BAIXO,9302762
GOLF,-37666.5,0.5,BAIXO,9580120
SUNRISE,9912.9,2,MÉDIO,9761956
OLAVO BILAC,19344.3,2,MÉDIO,9547697
BBG NANNING,3885.6,1,BAIXO,9847205
JINLING CONFIDENCE,8105.4,2,MÉDIO,9798337
SEA BRAVERY,2787.3,1,BAIXO,9386407
RADIUS,2422.8,1,BAIXO,9526710
TOMINI LEVANT,3365.7,1,BAIXO,9714783
MANDARIN SINGAPORE,5017.2,2,MÉDIO,9569968
YASA MIMOSA,528.6,0.5,BAIXO,9786061
AGIA TRIADA,2981.1,1,BAIXO,9397236
VAN LEOPARD,3948.9,1,BAIXO,9692674
SSI SPLENDID,15813.0,2,MÉDIO,9848077
WECO KAROLINE,5971.5,2,MÉDIO,9803417
ETRON,5514.0,2,MÉDIO,9718038
JAG RISHI,3515.7,1,BAIXO,9456343
SASEBO ACE,2480.4,1,BAIXO,9507960
MAIRINI,3455.7,1,BAIXO,9474670
JAWOR,4394.7,1,BAIXO,9452608
GREAT VENTURE,3190.5,1,BAIXO,9317470
SPRING SNOW,3109.5,1,BAIXO,9473274
SSI SURPRISE,3699.0,1,BAIXO,9603142
BOW TRAJECTORY,13536.6,2,MÉDIO,9669873
PINE MEADOW,3501.3,1,BAIXO,9478688
JAG PUSHPA,4397.4,1,BAIXO,9315733
MARITIME VALOR,11399.7,2,MÉDIO,9848352
RAS GHUMAYS - I,1851.9,1,BAIXO,9494034
SHANDONG FU HUI,3816.3,1,BAIXO,9734733
NAVE ATRIA,10407.6,2,MÉDIO,9459060
MARITIME POLARIS,4840.8,1,BAIXO,9768746
STI BROOKLYN,4820.1,1,BAIXO,9706841
